Neighborhood,Borough,Longitude,Latitude,Borough_code,venue_count,category_count
Kew Gardens Hills,Queens,-73.82075102408328,40.725476430808655,3,14.0,0.3235294117647059
Kingsbridge,Bronx,-73.90194784481483,40.87566404255637,0,31.0,0.5294117647058824
Kips Bay,Manhattan,-73.97821191956757,40.7406646271347,2,75.0,0.5157894736842106
LaGuardia Airport,Queens,-73.8722529658778,40.77509001975983,3,23.0,0.37209302325581395
Latourette Park,Staten Island,-74.1405725,40.584393500000004,4,,
Laurelton,Queens,-73.74142,40.67602450000032,3,12.0,0.3125
Liberty Island,Manhattan,-74.04514167367185,40.68981941221804,2,15.0,0.37142857142857144
Lighthouse Hill,Staten Island,-74.13929111702572,40.573798173385974,4,4.0,0.16666666666666666
Little Italy,Manhattan,-73.99718448486729,40.71880641067811,2,100.0,0.48333333333333334
Little Neck,Queens,-73.73191422131961,40.76746918933408,3,32.0,0.46153846153846156
Long Island City,Queens,-73.93605157949332,40.748398310426396,3,71.0,0.4065934065934066
Longwood,Bronx,-73.90072100000016,40.819965500000244,0,25.0,0.4222222222222222
Lower East Side,Manhattan,-73.98419213639484,40.716631474581526,2,100.0,0.5333333333333333
Manhattan Beach,Brooklyn,-73.94257034229409,40.57854264040665,1,10.0,0.26666666666666666
Marble Hill,Manhattan,-73.91121854439835,40.87559769738766,2,17.0,0.40540540540540543
Marine Park,Brooklyn,-73.91759349843394,40.59556500667047,1,10.0,0.3
Marine Park,Brooklyn,-73.93226000000017,40.61146263752929,1,10.0,0.3
Marine Park,Brooklyn,-73.92089604256569,40.59703348271711,1,10.0,0.3
Mariners Harbor,Staten Island,-74.15721176131817,40.63367740009633,4,6.0,0.23076923076923078
Maspeth,Queens,-73.90722122169977,40.72727950000005,3,14.0,0.3235294117647059
Melrose,Bronx,-73.9173955875354,40.82047900000014,0,28.0,0.4375
Middle Village,Queens,-73.88039763764021,40.71776511047088,3,7.0,0.2222222222222222
Midland Beach,Staten Island,-74.09324016916095,40.57319218153981,4,19.0,0.4358974358974359
Midtown,Manhattan,-73.97612588732386,40.75488750821475,2,100.0,0.5333333333333333
Midwood,Brooklyn,-73.96031366619346,40.62055640175312,1,24.0,0.38636363636363635
Mill Basin,Brooklyn,-73.91300036991366,40.61104419181143,1,13.0,0.36363636363636365
Morningside Heights,Manhattan,-73.96266239316618,40.80993000000021,2,46.0,0.5606060606060606
Morris Heights,Bronx,-73.91773081913334,40.851005666562635,0,11.0,0.2903225806451613
Morris Park,Bronx,-73.85097026880779,40.85028100199375,0,28.0,0.3333333333333333
Morrisania,Bronx,-73.9055005,40.82918343033808,0,9.0,0.3103448275862069
Mott Haven,Bronx,-73.91676864627604,40.811439500000276,0,22.0,0.38095238095238093
Mount Eden,Bronx,-73.91706000000005,40.84063106138038,0,19.0,0.41025641025641024
Mount Hope,Bronx,-73.90714800000009,40.849192003394364,0,13.0,0.3939393939393939
Murray Hill,Manhattan,-73.97543710097187,40.747921180735645,2,96.0,0.49137931034482757
Navy Yard,Brooklyn,-73.97117499999999,40.703355555639796,1,12.0,0.375
Neponsit,Queens,-73.86139603496709,40.57202628402095,3,4.0,0.16666666666666666
New Brighton,Staten Island,-74.09125961011983,40.64143835247853,4,14.0,0.29411764705882354
New Dorp,Staten Island,-74.11480790675668,40.57218817961181,4,31.0,0.5098039215686274
New Dorp Beach,Staten Island,-74.10372192979787,40.56649208907305,4,6.0,0.15384615384615385
New Springville,Staten Island,-74.15800803976741,40.5836730000002,4,5.0,0.2
NoHo,Manhattan,-73.99376450000007,40.72710928302578,2,100.0,0.5416666666666666
Nolita,Manhattan,-73.99513685523098,40.72226452333338,2,100.0,0.55
North Brother Island,Bronx,-73.89833836913866,40.80075699278089,0,,
North Riverdale,Bronx,-73.90531430528651,40.90790611989968,0,22.0,0.42857142857142855
Norwood,Bronx,-73.8793503180936,40.87693672444432,0,25.0,0.35555555555555557
Oakwood,Staten Island,-74.11736857100658,40.55837175019512,4,3.0,0.13043478260869565
Olinville,Bronx,-73.86609744928245,40.87841501748305,0,28.0,0.4375
Ozone Park,Queens,-73.84858507978564,40.67872800000027,3,17.0,0.40540540540540543
Park Hill,Staten Island,-74.07838818108415,40.61350971702126,4,4.0,0.16666666666666666
Park Slope,Brooklyn,-73.9795815818139,40.6747389855937,1,100.0,0.525
Parkchester,Bronx,-73.86731974692722,40.83563949999932,0,22.0,0.38095238095238093
Pelham Bay,Bronx,-73.83440297735086,40.85015434340984,0,31.0,0.5490196078431373
Pelham Bay Park,Bronx,-73.78649445624406,40.87325813332093,0,9.0,0.20689655172413793
Pelham Bay Park,Bronx,-73.78619360480815,40.873742523557375,0,9.0,0.20689655172413793
Pelham Bay Park,Bronx,-73.80657365513646,40.86620240957345,0,9.0,0.20689655172413793
Pelham Gardens,Bronx,-73.8421049408013,40.86321578704431,0,19.0,0.4358974358974359
Pelham Islands,Bronx,-73.78892184853424,40.83491446453964,0,7.0,0.18518518518518517
Pelham Islands,Bronx,-73.80458451998442,40.84183761290867,0,7.0,0.18518518518518517
Pelham Islands,Bronx,-73.78109060264822,40.85552796116256,0,7.0,0.18518518518518517
Pelham Islands,Bronx,-73.78338995584949,40.85572781631201,0,7.0,0.18518518518518517
Pelham Islands,Bronx,-73.78308125668565,40.86246242310318,0,7.0,0.18518518518518517
Pelham Islands,Bronx,-73.78411635575188,40.86284338744592,0,7.0,0.18518518518518517
Pelham Islands,Bronx,-73.77493872084095,40.86162265817431,0,7.0,0.18518518518518517
Pelham Islands,Bronx,-73.76993960128691,40.86532705487395,0,7.0,0.18518518518518517
Pelham Islands,Bronx,-73.7672420761198,40.86710047964499,0,7.0,0.18518518518518517
Pelham Islands,Bronx,-73.77139376666901,40.87122902757998,0,7.0,0.18518518518518517
Pelham Islands,Bronx,-73.7742926540054,40.87448692738307,0,7.0,0.18518518518518517
Pelham Islands,Bronx,-73.78261009687866,40.874980395036516,0,7.0,0.18518518518518517
Pelham Islands,Bronx,-73.78118027611487,40.87646885298421,0,7.0,0.18518518518518517
Pelham Islands,Bronx,-73.78657573572333,40.880313749510336,0,7.0,0.18518518518518517
Pleasant Plains,Staten Island,-74.2271997745543,40.52052950000018,4,2.0,0.09090909090909091
Plum Beach,Brooklyn,-73.9203670773203,40.58391005715844,1,4.0,0.16666666666666666
Port Ivory,Staten Island,-74.17857436747138,40.64279189823903,4,,
Port Morris,Bronx,-73.91101006000991,40.80490038494448,0,20.0,0.425
Port Richmond,Staten Island,-74.13739491547852,40.63306739870265,4,11.0,0.2903225806451613
Prince's Bay,Staten Island,-74.20149762310653,40.5225252656991,4,7.0,0.2222222222222222
Prospect Heights,Brooklyn,-73.97001328740814,40.67783631164062,1,97.0,0.49572649572649574
Prospect Park,Brooklyn,-73.97074654999096,40.66310617453385,1,15.0,0.2571428571428571
Prospect-Lefferts Gardens,Brooklyn,-73.9513250221878,40.65915050000008,1,34.0,0.4444444444444444
Queens Village,Queens,-73.74577217541619,40.71705481088572,3,9.0,0.3103448275862069
Randall Manor,Staten Island,-74.11200599999995,40.6360342161002,4,14.0,0.38235294117647056
Randall's Island,Manhattan,-73.92492724993802,40.79145942139286,2,4.0,0.16666666666666666
Red Hook,Brooklyn,-74.00930598932342,40.67415266814583,1,27.0,0.44680851063829785
Rego Park,Queens,-73.8615795,40.72380572999136,3,5.0,0.2
Richmond Hill,Queens,-73.82765502632074,40.69232800000006,3,19.0,0.28205128205128205
Richmondtown,Staten Island,-74.13165720924812,40.56965668829342,4,4.0,0.16666666666666666
Ridgewood,Queens,-73.90754264818423,40.702920112071794,3,44.0,0.46875
Rikers Island,Bronx,-73.88180428781538,40.792053575683994,0,,
Riverdale,Bronx,-73.91144992241985,40.89378927906413,0,6.0,0.19230769230769232
Rockaway Beach,Queens,-73.80811227824833,40.58810109076626,3,19.0,0.41025641025641024
Rockaway Park,Queens,-73.83186382357025,40.581051657565396,3,30.0,0.42
Roosevelt Island,Manhattan,-73.95080978350404,40.761180303499174,2,30.0,0.56
Rosebank,Staten Island,-74.07206913097156,40.61293107727648,4,7.0,0.25925925925925924
Rosedale,Queens,-73.74066976257728,40.65926166121763,3,10.0,0.3333333333333333
