Neighborhood,Longitude,Latitude,Borough_code,mean_2019,predicted_from_neighbors,historic_est,predicted_from_sales,predicted_rt,imputed,rent_quant
Forest Park,-38.41235029113823,28.08002436059859,3,,1719.1666666666667,,,1745.6726332371336,1745.6726332371336,2
Fort Greene,-38.4670279516849,28.07609862,1,3048.0,2835.277777777778,2791.7713249280428,2562.8368476167484,2894.212452300786,3048.0,4
Fort Hamilton,-38.49573939410686,28.023957177352948,1,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Fort Wadsworth,-38.51038523008094,28.014423224706093,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Fresh Meadows,-38.3675352813153,28.109444962289476,3,,1819.8611111111113,,,1771.3927831890333,1771.3927831890333,2
Freshkills Park,-38.57340878632636,28.000226702729545,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Gerritsen Beach,-38.44180279854018,28.009959137917413,1,,1752.3333333333333,,,1734.8021133958634,1734.8021133958634,1
Glen Oaks,-38.331992920000076,28.118770236665746,3,,1819.8611111111113,,,1771.3927831890333,1771.3927831890333,2
Glendale,-38.41646849749762,28.084835732171033,3,1707.6666666666667,1779.3055555555557,1686.0640855267727,1987.7205405071131,1688.2359139009136,1707.6666666666667,1
Governors Island,-38.48997858190186,28.074809808213644,2,,3073.638888888889,,,3049.836114117364,3049.836114117364,4
Gowanus,-38.474542743321074,28.066008928348527,1,2931.1666666666665,2745.2777777777774,2969.0845333443294,2440.3757778851123,2866.4448544973548,2931.1666666666665,4
Gramercy,-38.47226357624986,28.107459245690997,2,,3583.3611111111113,,,4098.976711729628,4098.976711729628,4
Graniteville,-38.561251300000045,28.026290970000076,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Grant City,-38.535944475689014,27.999540401192927,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Gravesend,-38.471308512541725,28.01023076706879,1,1661.6666666666667,1801.5462962962963,1707.250253041299,2121.136015449323,1710.1869801186472,1661.6666666666667,0
Great Kills,-38.5594681001993,27.9815423727627,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Great Kills Park,-38.546093846282325,27.97486903701459,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Green-Wood Cemetery,-38.47545,28.04980806387009,1,,1939.0277777777776,,,1987.244138022471,1987.244138022471,3
Greenpoint,-38.45106689543067,28.10243624883134,1,2657.5,2972.1388888888887,2618.304994961713,2777.2524962168213,2759.50087381754,2657.5,4
Greenwich Village,-38.478325529539696,28.104664544807896,2,4011.0,3741.0,3902.79910270582,3719.1641637310604,4111.152108555025,4011.0,4
Grymes Hill,-38.529246600000036,28.024316880000033,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Harlem,-38.45292974645648,28.162823876818518,2,,2450.4166666666665,,,2173.81872676706,2173.81872676706,3
Hart Island,-38.35995809812261,28.188293716224443,0,,1593.3333333333333,,,1599.9447558922557,1599.9447558922557,0
Hell's Kitchen,-38.477243771561405,28.126366517609394,2,,4045.75,,,4130.060045062962,4130.060045062962,4
Highbridge,-38.44227917929546,28.17739453344961,0,1659.2,1706.788888888889,1535.7627949568257,1515.9971813750617,1726.795975829726,1659.2,0
Hoffman Island,-38.50803571901162,27.999394495674444,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Hollis,-38.35911548826978,28.092019090315524,3,,1913.0025252525254,,,1945.607674177674,1945.607674177674,3
Hollis Hills,-38.35138760803732,28.105809139673777,3,,1819.8611111111113,,,1771.3927831890333,1771.3927831890333,2
Holliswood,-38.359555328137276,28.097329839542816,3,,1793.9722222222224,,,1746.84925986051,1746.84925986051,2
Howard Beach,-38.39548740543787,28.053474139601608,3,,1700.5277777777776,1638.794837720212,,1728.4341635401638,1728.4341635401638,1
Howland Hook,-38.574100577897184,28.03640797844928,4,,1637.7575757575758,,,1666.585380190797,1666.585380190797,0
Huguenot,-38.56776553397262,27.96690883406885,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Hunts Point,-38.41917824976429,28.15986212323871,0,,1743.6666666666667,,,1734.8021133958634,1734.8021133958634,1
Inwood,-38.44054284497311,28.19796096829698,2,1809.0,1671.7575757575758,1819.8916952984132,2041.0994232392252,1786.2159701779706,1809.0,2
Jackson Heights,-38.41523075228983,28.119240870000183,3,1829.4166666666667,1856.3055555555557,1886.7337757685716,1792.9463810678844,1891.2885724306554,1829.4166666666667,2
Jamaica,-38.37013544000007,28.07584194000017,3,2157.090909090909,1830.530303030303,2028.9807521934392,1819.0560072508817,1888.3117033429533,2157.090909090909,3
Jamaica Bay,-38.404978068002386,28.022183769312832,1,,1712.361111111111,,,1740.6819387926892,1740.6819387926892,2
Jamaica Estates,-38.371473946711305,28.096773780000063,3,,1889.030303030303,1827.267606908466,,1891.2885724306554,1891.2885724306554,2
Jamaica Hills,-38.37569350258974,28.092288587034353,3,,1773.25,,,1737.7014652477153,1737.7014652477153,2
John F. Kennedy International Airport,-38.37080968425108,28.043187637209797,3,,1839.0580808080806,,,1898.814918229918,1898.814918229918,2
Kensington,-38.468494223055345,28.040143788550186,1,1795.8333333333333,1988.7777777777776,1928.0691644342155,1980.4159530414681,1966.420665800249,1795.8333333333333,2
Kew Gardens,-38.39082548002021,28.089075551272977,3,1809.75,1714.75,1909.1448377202119,1666.7608820554638,1803.2695164742668,1809.75,2
Kew Gardens Hills,-38.38679053252331,28.10057873725797,3,1800.0,1773.25,1893.6656047439635,1679.0372393329508,1794.689168590669,1800.0,2
Kingsbridge,-38.42901287930371,28.204208189363897,0,1636.0,1577.611111111111,1662.8345202598946,1647.2714843106198,1588.5202465127463,1636.0,0
Kips Bay,-38.46867019817514,28.11105859272294,2,,3666.944444444444,,,4098.976711729628,4098.976711729628,4
LaGuardia Airport,-38.41357154225646,28.13481211363428,3,,1856.3055555555557,,,1914.7180928330927,1914.7180928330927,3
Latourette Park,-38.5530977,28.003231515,4,,1811.5185185185185,,,1739.0006619769122,1739.0006619769122,2
Laurelton,-38.3455384,28.066456905000216,3,,1830.530303030303,,,1908.3303980278981,1908.3303980278981,3
Liberty Island,-38.50347367030936,28.075975394430447,2,,3073.638888888889,,,3049.836114117364,3049.836114117364,4
Lighthouse Hill,-38.55243138085338,27.99592073963632,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Little Italy,-38.478535932130995,28.095976423367894,2,2747.75,2812.8611111111113,2802.2509545576727,,2963.755932539683,2747.75,4
Little Neck,-38.3405953950862,28.129553740640514,3,,1819.8611111111113,,,1771.3927831890333,1771.3927831890333,2
Long Island City,-38.44674682133653,28.11639483419421,3,3218.25,2743.277777777778,3163.502806409524,2093.601592221967,2901.5513624338632,3218.25,4
