,Neighborhood,Longitude,Latitude,Borough_code,Arrests,Arrests (log)
221,SoHo,-38.4827558163886,28.099494017748526,2,0.740245667265571,-0.13062412590173098
222,Soundview,-38.41313696316878,28.16974931083085,0,1.823064572133008,0.26080205144400714
223,South Beach,-38.52430298389164,28.005347734502344,4,0.06288494746188103,-1.20145329758459
225,South Ozone Park,-38.38251716000001,28.064257073510458,3,1.2091877040527408,0.08249372228911121
226,South Slope,-38.47216074000008,28.058630259822614,1,0.3030455563401124,-0.5184920798147289
227,Springfield Gardens,-38.359221513936916,28.062802238375482,3,3.9665429241908385,0.5984121583923601
228,Spuyten Duyvil,-38.437159871274616,28.20801247671807,0,0.029945213077086204,-1.523672592318509
229,St. Albans,-38.35761514,28.080932627529332,3,2.2997923643202203,0.3616886277130027
230,St. George,-38.52148098909459,28.04319671083216,4,1.2055942784834905,0.08120117823412648
231,Stapleton,-38.519871549157706,28.035025310499268,4,0.1796712784625172,-0.7455213419348655
232,Stuyvesant Town,-38.468034750451835,28.104947260142477,2,0.11738523526217792,-0.9303865252980518
233,Sunnyside,-38.43905053676653,28.109843760000086,3,0.32999624810948996,-0.4814909978027429
234,Sunset Park,-38.486236231227544,28.049996350678004,1,1.4439581745770966,0.1595546137229256
235,Theater District,-38.47214296704635,28.12361365893794,2,2.5531288669523695,0.40707273599260413
236,Throgs Neck,-38.384338398378524,28.165809163466324,0,0.3210126841863641,-0.493477806961758
237,Todt Hill,-38.53543693999996,28.01012703000019,4,0.18027018272405895,-0.7440761010606846
238,Tompkinsville,-38.52556474,28.033945140000057,4,0.19943511909339412,-0.700198363148208
239,Tottenville,-38.60107585441965,27.95100748072618,4,0.2437540344474817,-0.613048187429308
240,Tremont,-38.42466452576491,28.18320829900425,0,1.933861860518227,0.28642544836263356
241,Tribeca,-38.48475170916179,28.09580502000007,2,0.43660120666391683,-0.35991506833655335
242,Two Bridges,-38.47876106308045,28.090291932762174,2,0.31202912026323826,-0.5058048733550035
243,Unionport,-38.401950576613956,28.173698078627172,0,0.5557831547107199,-0.25509462043566594
244,University Heights,-38.43323249696078,28.192129342902582,0,2.8789327852310675,0.45923152547411883
245,Upper East Side,-38.45790463436814,28.13341140889047,2,1.0888079474828543,0.03695128223142057
246,Upper West Side,-38.4681955330282,28.14279867186751,2,1.467315440777224,0.16652348771000441
247,Van Cortlandt Park,-38.419566788576724,28.21900396617573,0,0.0071868511385006885,-2.143461350606903
248,Van Nest,-38.40972964472682,28.18358318753916,0,0.28747404554002753,-0.5414013592789408
249,Vinegar Hill,-38.47108543153272,28.084453472439154,1,0.455766143033252,-0.34125793988395514
250,Wakefield,-38.40319379490557,28.218461376565035,0,0.6504100280343124,-0.18681277140169986
251,Washington Heights,-38.44685468674343,28.18294691665819,2,3.5527000794655073,0.5505585457018164
252,West Brighton,-38.538009900000034,28.033130595000056,4,0.04431891535408758,-1.3534108769235516
253,West Farms,-38.41655584170211,28.18124668500007,0,0.9133289988511292,-0.03937275297172339
254,West Village,-38.482908800542674,28.107393167135307,2,0.7144927840192768,-0.14600215298418612
255,Westchester Square,-38.400527334390496,28.180401250196795,0,0.5288324629413423,-0.27668189307695945
256,Westerleigh,-38.5519524,28.026674265000054,4,0.05090686223104655,-1.2932236709402352
257,Whitestone,-38.38247149983704,28.14338088687582,3,0.2736992475245679,-0.5627263965846777
258,Williamsbridge,-38.404718805550694,28.205552970000138,0,0.9834007974515109,-0.007269443871106079
259,Williamsburg,-38.45159227837859,28.09103332500008,1,2.8795316894926093,0.459321862340155
260,Willowbrook,-38.5523112,28.01459478000016,4,0.012576989492376206,-1.9004233019206085
261,Windsor Terrace,-38.46955454021983,28.05140549537691,1,0.05809371336954723,-1.235870862388283
262,Woodhaven,-38.405554271364515,28.077475646310535,3,0.33778200350953236,-0.47136349267118566
263,Woodlawn,-38.41229774320813,28.215132895602036,0,0.876795838897084,-0.057101519932154975
264,Woodrow,-38.584281059999995,27.973605910361226,4,0.04431891535408758,-1.3534108769235516
265,Woodside,-38.42884791517754,28.116392064743316,3,1.2397318213913688,0.09332774880238973
