,Neighborhood,Borough,Longitude,Latitude,Borough_code,Calls,Calls (log)
100,Flatlands,Brooklyn,-73.9321805,40.6223912154266,1,1679,3.2250506961380485
101,Floral Park,Queens,-73.70881246223357,40.741728719284914,3,392,2.5932860670204567
103,Flushing,Queens,-73.8175978680877,40.74847862146291,3,2978,3.473924693416157
104,Flushing Meadows Corona Park,Queens,-73.84002948196067,40.737154449694835,3,275,2.4393326938302624
105,Fordham,Bronx,-73.89350172139692,40.86132287267374,0,7854,3.8950908969343994
106,Forest Hills,Queens,-73.84481356724348,40.72047633920056,3,1131,3.053462604925455
107,Forest Park,Queens,-73.86990440603506,40.695687479128395,3,1540,3.1875207208364627
108,Fort Greene,Brooklyn,-73.97505375324019,40.689998,1,1437,3.1574567681342254
109,Fort Hamilton,Brooklyn,-74.03026806559012,40.61443069181587,1,704,2.847572659142112
110,Fort Wadsworth,Staten Island,-74.05843313477104,40.60061336913927,4,66,1.8195439355418683
111,Fresh Meadows,Queens,-73.78372169483711,40.73832603230359,3,610,2.7853298350107667
112,Freshkills Park,Staten Island,-74.17963228139685,40.58003869960804,4,14,1.1461280356782377
113,Gerritsen Beach,Brooklyn,-73.9265438433465,40.59414367814118,1,303,2.481442628502305
114,Glen Oaks,Queens,-73.71537100000015,40.751840922703984,3,74,1.8692317197309762
115,Glendale,Queens,-73.87782403364926,40.7026604814073,3,740,2.869231719730976
116,Governors Island,Manhattan,-74.0191895805805,40.68813015683137,2,1,0.0
117,Gowanus,Brooklyn,-73.98950527561745,40.67537525847613,1,510,2.707570176097936
118,Gramercy,Manhattan,-73.98512226201896,40.735448182160866,2,1346,3.129045059887958
119,Graniteville,Staten Island,-74.15625250000008,40.61781300000011,4,320,2.505149978319906
120,Grant City,Staten Island,-74.10758553017118,40.579044059699896,4,165,2.217483944213906
121,Gravesend,Brooklyn,-73.98328560104177,40.59453734357796,1,1766,3.2469906992415494
122,Great Kills,Staten Island,-74.15282326961403,40.552959960525655,4,184,2.2648178230095364
123,Great Kills Park,Staten Island,-74.12710355054293,40.543288459441435,4,3,0.47712125471966244
124,Green-Wood Cemetery,Brooklyn,-73.99125000000001,40.651895744739264,1,1428,3.1547282074401553
125,Greenpoint,Brooklyn,-73.94435941428975,40.72816847656716,1,2013,3.303843774888654
126,Greenwich Village,Manhattan,-73.99677986449942,40.73139789102594,2,1396,3.144885418287142
127,Grymes Hill,Staten Island,-74.09470500000006,40.61495200000005,4,236,2.3729120029701067
128,Harlem,Manhattan,-73.94794182010862,40.815686777997854,2,18551,4.268367325421483
130,Hell's Kitchen,Manhattan,-73.99469956069501,40.76285002552086,2,2333,3.3679147387937522
131,Highbridge,Bronx,-73.92745996018358,40.836803671666104,0,4707,3.672744198306599
133,Hollis,Queens,-73.76752978513419,40.71307114538482,3,1159,3.0640834359635956
134,Hollis Hills,Queens,-73.75266847699484,40.733056724164896,3,237,2.374748346010104
135,Holliswood,Queens,-73.76837563103322,40.72076788339539,3,275,2.4393326938302624
136,Howard Beach,Queens,-73.83015122457533,40.65534023191249,3,680,2.8325089127062357
137,Howard Beach,Queens,-73.84480033480108,40.65907756403421,3,680,2.8325089127062357
138,Howland Hook,Staten Island,-74.18096264980227,40.632475331085914,4,6,0.7781512503836435
139,Huguenot,Staten Island,-74.16877987302426,40.53175193343312,4,256,2.408239965311849
140,Hunts Point,Bronx,-73.88303509570056,40.81139438150538,0,1145,3.0588054866759067
141,Inwood,Manhattan,-73.92412085571752,40.866610098981134,2,9898,3.995547449475137
142,Jackson Heights,Queens,-73.87544375440352,40.75252300000027,3,4455,3.6488477083728936
143,Jamaica,Queens,-73.78872200000013,40.68962600000025,3,3705,3.5687882123153467
144,Jamaica Bay,Brooklyn,-73.86620611026407,40.586793235676396,1,37,1.5682017240669948
145,Jamaica Bay,Brooklyn,-73.86986803659615,40.59770115698837,1,37,1.5682017240669948
146,Jamaica Bay,Brooklyn,-73.87063816683693,40.60075279683781,1,37,1.5682017240669948
147,Jamaica Bay,Brooklyn,-73.85706373574592,40.59934208230524,1,37,1.5682017240669948
148,Jamaica Bay,Brooklyn,-73.86766707875935,40.60362117534332,1,37,1.5682017240669948
149,Jamaica Bay,Brooklyn,-73.86788358517177,40.60778733402927,1,37,1.5682017240669948
150,Jamaica Bay,Brooklyn,-73.83519249624439,40.60741129469933,1,37,1.5682017240669948
151,Jamaica Bay,Brooklyn,-73.87133282808674,40.607624816227435,1,37,1.5682017240669948
152,Jamaica Bay,Brooklyn,-73.85449420879458,40.611518800111796,1,37,1.5682017240669948
153,Jamaica Bay,Brooklyn,-73.84502534753004,40.61067596929084,1,37,1.5682017240669948
154,Jamaica Bay,Brooklyn,-73.83560699147067,40.62057371032983,1,37,1.5682017240669948
155,Jamaica Bay,Brooklyn,-73.87161486410096,40.62163692559601,1,37,1.5682017240669948
